MdALE errors symbolic regression,MdALE errors Eleveld
0.17721999,0.19233488
0.21569428,0.19520038
0.070298426,0.34947017
0.25584373,0.5494417
0.28119367,0.5435978
0.1762281,0.32787555
0.18268263,0.17828329
0.12386337,0.2700026
0.4076134,0.6832562
0.08699491,0.47861406
0.10908255,0.29596666
0.07272322,0.33664924
0.17810982,0.44029346
0.19427952,0.4599769
0.09674434,0.32073855
0.07946595,0.33513457
0.08129467,0.34430605
0.2459737,0.22276239
0.090171345,0.48159024
0.08365497,0.33022577
0.20154335,0.45363224
0.17028199,0.5085261
0.12974216,0.31103522
0.14354727,0.3340842
0.49458814,0.7065872
0.20540828,0.17986575
0.16394514,0.35311615
0.15282758,0.408756
0.36218184,0.30000913
0.17083427,0.3347947
0.40972364,0.5167848
0.24800308,0.2813738
0.089899555,0.37950504
0.30900794,0.1403074
0.2541435,0.5134838
0.2122124,0.29600903
0.22302903,0.35261348
0.14616118,0.3061127
0.09600626,0.40175632
0.116885796,0.37596095
0.25978747,0.53073186
0.089169994,0.49156064
0.23178868,0.4949425
0.12723014,0.31052005
0.112957045,0.12033337
0.28684545,0.48696235
0.154917,0.35773635
0.08408588,0.37961683
0.16869076,0.51170945
0.22089888,0.23700182
0.23073977,0.6117503
0.1491363,0.40156788
0.23581466,0.4232818
0.24292175,0.24994023
0.1706479,0.4460289
0.15224619,0.44454163
0.16093293,0.47806832
0.053436305,0.39765412
0.14958641,0.21058302
0.101940595,0.45551217
0.20104347,0.5458913
0.28552443,0.4155369
0.21081905,0.42438194
0.1757351,0.225862
