Observed concentration,Predicted concentration symbolic regression ALE,Predicted concentration Eleveld
7.582,6.1055617,4.871713
6.824,6.006029,4.6973577
5.955,5.8707933,4.647706
10.394,10.143029,10.070134
9.654,9.886526,8.673159
8.669,6.43378,5.9472756
3.688,3.290217,3.0907946
3.684,3.3674502,2.7462978
3.429,3.3208432,2.795142
9.624,8.424232,7.1302905
12.0,8.513534,6.570514
1.849,0.69795346,0.6526107
14.352,10.627592,7.4893823
12.6,9.836543,6.85883
5.934,3.142849,2.8370144
5.63,4.8936095,4.0962195
5.275,4.8991876,3.726071
1.514,1.7802615,1.2294476
11.862,6.56365,5.2422996
10.195,6.441785,4.797469
4.653,3.402449,2.7053106
5.127,4.9947333,3.8081908
7.158,4.8803506,3.7431743
5.788,4.6377053,3.6613271
10.445,10.109501,7.6599865
9.872,9.1725855,6.7372813
3.36,3.633994,2.908167
8.737,8.198393,6.620038
7.895,7.927295,6.4869866
4.01,3.639651,3.0342765
7.075,4.735381,3.885347
7.165,4.646594,3.6864755
9.94,8.675905,6.8307915
10.73,8.659282,6.587098
3.153,3.3229058,2.3785846
6.4,5.737717,5.25869
6.754,5.9324594,4.8908186
6.549,5.9175906,4.730212
5.177,4.8115525,3.3539422
5.257,4.3027635,3.00207
4.528,3.9610357,2.8550773
19.965,8.090159,7.0722375
10.905,7.1468205,5.7003393
13.125,4.7676983,4.105927
3.365,3.8360777,2.9892378
3.585,3.696393,2.7267828
5.118,4.590108,3.463882
7.172,6.407996,5.167889
6.992,6.369278,4.9029746
7.619,7.186157,5.771545
12.744,5.6501875,4.8295317
7.953,5.794063,4.612552
7.306,5.419275,4.336247
3.701,2.9795775,2.6357348
3.951,2.922385,2.3009627
7.167,5.6914706,5.313713
9.672,5.8889065,4.754087
2.334,3.2834008,2.555314
4.673,3.9103415,3.2905002
7.635,5.179982,3.9797225
6.329,4.8080063,3.6001663
11.015,6.357242,4.928119
8.292,6.274037,4.5479736
4.637,4.092282,2.921501
4.966,5.2885747,3.890591
4.797,4.999988,3.603642
5.018,4.6867495,3.5672183
9.112,10.129991,7.739493
9.112,9.707614,7.0529947
7.889,6.3991847,4.593658
14.175,8.035074,6.8704066
11.017,8.000787,6.577122
5.408,4.4084477,3.7377455
8.602,8.99216,7.3353734
9.066,8.803695,6.53653
3.31,3.9329658,3.1398385
9.553,7.1613984,5.7643714
10.944,6.993732,5.1718802
8.693,5.2198315,3.7991233
2.3,3.5710895,3.5597975
2.1,2.2325113,2.1253886
2.7,2.7545433,2.5673618
2.9,2.8241727,2.6665423
4.3,4.1622033,4.075228
4.7,3.6302607,3.5170655
5.5,4.500755,4.307379
6.0,4.533499,4.3124256
2.1,1.1390145,1.0003576
2.7,3.9192257,3.7333677
1.8,2.7569916,2.7071607
1.6,3.0760858,2.6996253
2.0,3.1747217,2.8170385
2.9,4.143111,3.8820508
3.4,4.098357,3.7321396
3.1,4.1221113,3.6880248
3.1,4.66434,4.169368
3.8,5.582342,5.048069
1.2,2.0158808,1.5006473
0.9,1.2193303,0.9811297
5.8,4.0621743,3.905417
1.8,2.2493181,2.1771083
3.8,2.8398206,2.436476
3.3,3.0825357,2.77679
7.0,4.397187,4.2773576
5.5,4.026154,3.761492
7.0,4.9295034,4.582699
1.5,1.4236997,1.1046963
0.8,1.1482797,0.91930825
4.0,4.095127,4.0475016
2.4,1.656035,1.5993866
3.2,2.956836,2.7393262
3.6,2.9615471,2.7795594
4.7,5.2783566,5.129545
4.7,3.9633977,3.8111734
1.6,1.8026897,1.5860865
2.8,2.257335,2.1021774
3.1,2.2541635,2.107015
3.4,2.2623346,2.119836
2.2,1.7805588,1.6572287
2.4,1.8091093,1.7056048
2.2,1.8370311,1.7287434
1.3,0.81056863,0.6930902
4.5,4.759622,4.485465
2.2,2.3783278,2.1264067
2.8,3.5466735,3.030546
3.0,3.6217854,3.181163
4.5,5.0944824,4.853094
4.6,4.673297,4.273211
5.0,4.618608,4.122635
4.8,4.6687183,4.1522098
5.0,5.7525992,5.21335
7.4,6.1923785,5.523975
6.1,4.1897783,3.703939
2.6,1.9374712,1.5674214
2.2,1.341762,1.1675407
5.4,3.9792085,3.8186061
3.2,2.496244,2.2510376
2.7,3.0574079,2.7493281
3.0,3.1229053,2.832803
2.9,4.2018003,3.9964592
3.7,4.0127196,3.725486
3.8,3.9895434,3.6306272
3.8,3.7755923,3.7995875
2.9,1.6948664,1.7014318
2.3,2.715126,2.5300825
2.7,2.7857015,2.6674309
1.9,1.6801542,1.6218687
1.000001,1.4418937,1.1737245
1.5,1.7301613,1.5796775
1.000001,1.0995018,1.046341
0.6,0.5581595,0.4956993
0.3,0.47167996,0.42810115
4.6,3.17749,3.0930066
2.4,1.6048381,1.4735
2.8,2.4449522,2.2141013
3.6,2.4032,2.1833355
4.3,3.4304776,3.3953943
3.9,3.1542063,2.9977205
4.2,3.1056244,2.8873994
4.0,3.058303,2.8264039
4.2,3.762016,3.5088253
4.1,3.7159843,3.4905465
4.2,4.4932423,4.298806
2.0,2.373446,2.004547
